StudentID,FirstName,LastName,GradeAverage,Faculty,Tuition,OfficeHoursParticipated,ClassesSkipped
20123456,John,Park,B,Arts,44191,0,5
20123457,Alex,Great,B,Science,32245,4,10
20123458,Sebastian,Taylor,B,Business,42679,6,7
20123459,Michael,Bay,A,Math,46478,15,2
20123460,Scott,Foster,A,Engineering,36784,5,8
20123461,Amy,Winehouse,B,Arts,36537,10,3
20123462,Ralph,Wiggins,B,Business,40762,2,8
20123463,Homer,Simpson,C,Engineering,47669,4,7
20123464,Marge,Simpson,B,Math,39429,10,3
20123465,Peter,Gryffin,D,Arts,31956,7,7
20123466,Louise,King,D,Business,33227,6,7
20123467,Megan,Botts,A,Science,34751,25,1
20123468,Cyrus,Wong,A,Science,49298,20,0
20123469,Michelle,Chang,B,Business,35046,5,4
20123470,Zachary,Chua,A,Business,31210,10,0
20123471,Angus,Helmsworth,B,Business,47515,10,1
20123472,Aaron,McDowell,B,Business,43421,13,2
20123473,Carol,Kuo,B,Engineering,43063,7,4
20123474,Tim,James,B,Science,46775,9,4
20123475,Johnson,Curry,B,Engineering,40539,9,3
20123476,Paul,Reed,A,Business,41397,14,2
20123477,Josh,Hart,A,Engineering,46468,4,8
20123478,Justin,Kang,A,Engineering,35859,2,9
20123479,Kevin,Yoo,A,Arts,41048,8,1
20123480,Rosaline,Jun,A,Arts,44915,25,3
20123481,Jimin,Park,B,Engineering,34570,20,3
20123482,Joseph,Kim,A,Math,33376,12,6
20123483,Chris,Dang,F,Business,44737,3,8
20123484,Robbie,Tee,B,Engineering,49682,10,6
20123485,Shelly,Yoon,A,Math,33585,5,10
